target,model,mse,r2,cv_r2
peak_infected_population,linear_regression,3583.85503099888,0.6166079074074695,0.5817067779193096
peak_infected_population,decision_tree,9608.1,-0.027851163893644726,0.46707766240769627
peak_infected_population,random_forest,2939.2465053125006,0.685566559313935,0.6662030206229111
outbreak_duration,linear_regression,989.8323251988394,0.5215768765525275,0.5719175664136209
outbreak_duration,decision_tree,1816.3166666666666,0.12210596611723268,-0.0457471121142375
outbreak_duration,random_forest,1005.822298125,0.5138483223353902,0.5255229101857857
total_infected_population,linear_regression,7655.778585058088,0.6363333261304651,0.6141772261377005
total_infected_population,decision_tree,11369.05,0.4599445957559567,0.25383179947903345
total_infected_population,random_forest,5841.9528465625,0.7224941216614449,0.6717054551527182
